date,exercise,category,weight,reps,serie_load,week_of_year,week
2022-05-23,Flat Barbell Bench Press,Chest,60,10,600,21,2022-05-22
2022-05-23,Flat Barbell Bench Press,Chest,60,10,600,21,2022-05-22
2022-05-23,Flat Barbell Bench Press,Chest,60,10,600,21,2022-05-22
2022-05-23,Flat Barbell Bench Press,Chest,70,8,560,21,2022-05-22
2022-05-23,Incline Dumbbell Bench Press,Chest,20,10,200,21,2022-05-22
2022-05-23,Incline Dumbbell Bench Press,Chest,20,10,200,21,2022-05-22
2022-05-23,Incline Dumbbell Bench Press,Chest,20,10,200,21,2022-05-22
2022-05-23,Incline Dumbbell Bench Press,Chest,20,10,200,21,2022-05-22
2022-05-23,Seated Machine Fly,Chest,35,10,350,21,2022-05-22
2022-05-23,Seated Machine Fly,Chest,35,10,350,21,2022-05-22
2022-05-23,Seated Machine Fly,Chest,35,10,350,21,2022-05-22
2022-05-23,Seated Machine Fly,Chest,40,10,400,21,2022-05-22
2022-05-23,Arnold Dumbbell Press (1 Arm),Shoulders,12.5,12,150,21,2022-05-22
2022-05-23,Arnold Dumbbell Press (1 Arm),Shoulders,12.5,12,150,21,2022-05-22
2022-05-23,Arnold Dumbbell Press (1 Arm),Shoulders,12.5,12,150,21,2022-05-22
2022-05-23,Lateral Dumbbell Raise,Shoulders,7.5,15,112.5,21,2022-05-22
2022-05-23,Lateral Dumbbell Raise,Shoulders,10,10,100,21,2022-05-22
2022-05-23,Lateral Dumbbell Raise,Shoulders,10,10,100,21,2022-05-22
2022-05-23,Cable Face Pull,Shoulders,45,12,540,21,2022-05-22
2022-05-23,Cable Face Pull,Shoulders,45,12,540,21,2022-05-22
2022-05-23,Cable Face Pull,Shoulders,45,12,540,21,2022-05-22
2022-05-23,Cable Face Pull,Shoulders,45,12,540,21,2022-05-22
2022-05-23,EZ-Bar Skullcrusher,Triceps,28,12,336,21,2022-05-22
2022-05-23,EZ-Bar Skullcrusher,Triceps,28,12,336,21,2022-05-22
2022-05-23,EZ-Bar Skullcrusher,Triceps,30.5,10,305,21,2022-05-22
2022-05-23,EZ-Bar Skullcrusher,Triceps,30.5,10,305,21,2022-05-22
2022-05-23,Rope Push Down,Triceps,45,10,450,21,2022-05-22
2022-05-23,Rope Push Down,Triceps,45,10,450,21,2022-05-22
2022-05-23,Rope Push Down,Triceps,45,12,540,21,2022-05-22
2022-05-23,Rope Push Down,Triceps,45,12,540,21,2022-05-22
2022-05-24,Deadlift,Back,60,8,480,21,2022-05-22
2022-05-24,Deadlift,Back,60,8,480,21,2022-05-22
2022-05-24,Deadlift,Back,80,6,480,21,2022-05-22
2022-05-24,Deadlift,Back,80,6,480,21,2022-05-22
2022-05-24,Deadlift,Back,90,5,450,21,2022-05-22
2022-05-24,Hip Thrust,Legs,82,10,820,21,2022-05-22
2022-05-24,Hip Thrust,Legs,82,10,820,21,2022-05-22
2022-05-24,Hip Thrust,Legs,82,10,820,21,2022-05-22
2022-05-24,Nordic Curl,Legs,1,10,10,21,2022-05-22
2022-05-24,Nordic Curl,Legs,1,10,10,21,2022-05-22
2022-05-24,Nordic Curl,Legs,1,10,10,21,2022-05-22
2022-05-24,Lying Leg Curl Machine,Legs,25,10,250,21,2022-05-22
2022-05-24,Lying Leg Curl Machine,Legs,25,10,250,21,2022-05-22
2022-05-24,Lying Leg Curl Machine,Legs,25,10,250,21,2022-05-22
2022-05-24,Lying Leg Curl Machine,Legs,25,10,250,21,2022-05-22
2022-05-24,Seated Cable Row,Back,45,10,450,21,2022-05-22
2022-05-24,Seated Cable Row,Back,50,10,500,21,2022-05-22
2022-05-24,Seated Cable Row,Back,55,8,440,21,2022-05-22
2022-05-24,Seated Cable Row,Back,55,8,440,21,2022-05-22
2022-05-24,Lat Pulldown (1 Arm Seated),Back,35,12,420,21,2022-05-22
2022-05-24,Lat Pulldown (1 Arm Seated),Back,45,12,540,21,2022-05-22
2022-05-24,Lat Pulldown (1 Arm Seated),Back,58,12,696,21,2022-05-22
2022-05-24,Lat Pulldown (1 Arm Seated),Back,58,12,696,21,2022-05-22
2022-05-24,Reverse Fly (Dumbbell),Shoulders,7.5,15,112.5,21,2022-05-22
2022-05-24,Reverse Fly (Dumbbell),Shoulders,7.5,15,112.5,21,2022-05-22
2022-05-24,Reverse Fly (Dumbbell),Shoulders,7.5,15,112.5,21,2022-05-22
2022-05-26,Barbell Squat,Legs,52,8,416,21,2022-05-22
2022-05-26,Barbell Squat,Legs,62,8,496,21,2022-05-22
2022-05-26,Barbell Squat,Legs,72,8,576,21,2022-05-22
2022-05-26,Bulgarian Squat,Legs,20,10,200,21,2022-05-22
2022-05-26,Bulgarian Squat,Legs,20,10,200,21,2022-05-22
2022-05-26,Bulgarian Squat,Legs,20,10,200,21,2022-05-22
2022-05-26,Leg Extension Machine,Legs,40,12,480,21,2022-05-22
2022-05-26,Leg Extension Machine,Legs,45,10,450,21,2022-05-22
2022-05-26,Leg Extension Machine,Legs,50,10,500,21,2022-05-22
2022-05-26,Leg Extension Machine,Legs,50,10,500,21,2022-05-22
2022-05-26,Seated Adductor,Legs,35,12,420,21,2022-05-22
2022-05-26,Seated Adductor,Legs,40,12,480,21,2022-05-22
2022-05-26,Seated Adductor,Legs,45,11,495,21,2022-05-22
2022-05-26,Seated Adductor,Legs,50,11,550,21,2022-05-22
2022-05-26,Seated Calf Raise Machine,Legs,50,15,750,21,2022-05-22
2022-05-26,Seated Calf Raise Machine,Legs,65,12,780,21,2022-05-22
2022-05-26,Seated Calf Raise Machine,Legs,76,10,760,21,2022-05-22
2022-05-26,Seated Calf Raise Machine,Legs,76,10,760,21,2022-05-22
